topic,category,participant_id,descriptions,difficulty_rating,image,is_data_visualization,languages,minivlat_answers,minivlat_time,reaction_times,self_understanding,timeSpent,topic,trial_number,desc_type,minivlat_score,num_words,caption,alttext,char_count,num_words_caption,num_words_alttext,desc_caption_jaccard,desc_alttext_jaccard,desc_caption_sbert,desc_alttext_sbert,jaccard_alttext_caption,sbert_alttext_caption,CLIPScore,colour_terms,numbers_raw_count,hedge_terms,trend_terms
Tetration,Tetration / Inverse operations / Super-root / Other super-roots,0e18de02948480ac89911e0e,This is an image of the graph of y= sqrt(3)s,5,prolific/train-0-28614.png,FALSE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'True', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,104058,1,12.99541667,Tetration,0,first,10,14,"The graph
  
  
  
  y
  =
  
  
  
  x
  
  3
  
  
  
  
  s
  
  
  
  
  {\displaystyle y={\sqrt[{3}]{x}}_{s}}
  
 .",A line graph that starts at the origin and quickly makes an asymptote toward 2 as the value along the x-axis increases,45,27,22,0.46875,0.46875,0.8297798634,0.3939861357,0,0.3996891379,0.762,0,1,0,0
European debt crisis contagion,European debt crisis contagion,0e18de02948480ac89911e0e,"Depicted are the data results for the loss of confidence in creditworthiness in EU countries, with Greece at the highest at 25,000 points",4,prolific/train-0-359850.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'True', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,153106,1,12.99541667,European debt crisis contagion,1,first,10,24,"Sovereign CDS showing a temporary loss of confidence in creditworthiness of certain EU countries. The left axis is in basis points; a level of 1,000 means it costs $1 million to protect $10 million of debt for five years.",Sovereign credit default swaps for EU countries in 2010-2013,137,44,9,0.5897435897,0.6774193548,0.4803561866,0.4443283081,0,0.5207872391,0.7363,0,2,0,1
Saqqaq,Saqqaq / Population,0e18de02948480ac89911e0e,"The bar graph ilustrates how the Saqqaq population in Greenland, has grown. Data collection begins in 1991 with the data collected up till 2010. At the highest, the Saqqaq population had 214 people in 2002, with the lowest recorded in 1991 at 126 people.",2,prolific/train-0-89137.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'True', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,123688,1,12.99541667,Saqqaq,2,first,10,50,Saqqaq population growth dynamics in the last two decades. Source: Statistics Greenland[8],Saqqaq population dynamics,255,17,3,0.5526315789,0.4117647059,0.8078005314,0.6755137444,0,0.7592844963,0.7754,0,6,0,2
European debt crisis contagion,European debt crisis contagion,03b75d98142b887562992926,"This chart has the sovereign credit default swaps by country from Jan '10 to Oct '16, most of the countries' data are buried at the bottom of the scale, except for Greece, whose data spikes in '11-'13.",5,prolific/train-0-359850.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,105592,4,10.0109,European debt crisis contagion,2,first,11,42,"Sovereign CDS showing a temporary loss of confidence in creditworthiness of certain EU countries. The left axis is in basis points; a level of 1,000 means it costs $1 million to protect $10 million of debt for five years.",Sovereign credit default swaps for EU countries in 2010-2013,201,44,9,0.6363636364,0.55,0.4528670907,0.752751112,0,0.5207872391,0.712,0,4,0,3
Breastfeeding promotion,Breastfeeding promotion / Breastfeeding promotion projects by region / Asia / India,a9608c054bb856e1fbf3692c,"Bar graph. Vertical axis is early initiation of breastfeeding in percentage, the horizontal axis is by country. 
 India is at 41.5%, Pakistan at 18%, Sri Lanka at 90.3%, Nepal at 54.9%, and china at 26.4%.",3,prolific/train-0-119573.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,103068,4,11.00071667,Breastfeeding promotion,0,first,11,48,Early Initiation of Breastfeeding in some of the Asian countries. Source: 2018 Global Breastfeeding Scorecard,Early Initiation of Breastfeeding in some of the Asian countries. Source: 2018 Global Breastfeeding Scorecard https://www.indiaspend.com/6-in-10-indian-babies-miss-out-on-early-breastfeeding-and-its-life-saving-benefits-62614/,204,17,20,0.5531914894,0.568627451,0.6479308605,0.6058535576,0,0.8939050436,0.837,0,9,0,0
Near-infrared window in biological tissue,Near-infrared window in biological tissue / Absorption properties of tissue components / Water,a9608c054bb856e1fbf3692c,Line graph. Vertical axis is molecular extinction coefficient and the horizontal axis is wavelength. Eumelinin is decreasing left to right in a straight line. Pheomelanin is decreasing but spiked between 700 and 800nm,5,prolific/train-0-201657.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,126414,4,11.00071667,Near-infrared window in biological tissue,1,first,11,36,Figure 3: The molar extinction coefficients of eumelanin and pheomelanin.[5],Figure 3: Figure 3: The molar extinction coefficients of eumelanin and pheomelanin.,217,15,15,0.5128205128,0.5555555556,0.5925018787,0.5992072821,0,0.9823436141,0.6978,0,1,0,3
Colorado River,Colorado River / Discharge,a9608c054bb856e1fbf3692c,The image is a time series plot with vertical axis of annual flow volume in millions of acre feet. The horizontal axis is time in decades. The graph indicates a decreasing trend from 1890 to 2000.,4,prolific/train-0-208920.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,111765,4,11.00071667,Colorado River,2,first,11,39,Annual Colorado River discharge volumes at Lee's Ferry between 1895 and 2004,The average annual discharge of the Colorado River has shown a slight but noticeable decreasing trend between 1895 and 2004.,197,13,21,0.5897435897,0.7352941176,0.2530087829,0.4672252238,0,0.6517068744,0.797,0,2,1,1
Electricity sector in Germany,Electricity sector in Germany / Electricity prices,b42c0b22a18be45e99399cab,This pie chart shows the average electricity price for a german household,3,prolific/train-0-395010.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,78362,3,12.59156667,Electricity sector in Germany,0,first,11,12,Components of the German Electricity Price for Households Source,Components Electricity Price Germany,73,9,4,0.6428571429,0.5384615385,0.7923039198,0.6410527229,0,0.7899571657,0.894,0,0,0,0
Electricity sector in Germany,Electricity sector in Germany / Electricity prices,b42c0b22a18be45e99399cab,This pie chart shows a breakdown of the average electricity price for a german household,3,prolific/train-0-395010.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,35236,3,12.59156667,Electricity sector in Germany,0,second,11,15,Components of the German Electricity Price for Households Source,Components Electricity Price Germany,88,9,4,0.6,0.5,0.7923272848,0.6308983564,0,0.7899571657,0.9023,0,0,0,0
Normally distributed and uncorrelated does not imply independent,Normally distributed and uncorrelated does not imply independent / Examples / A symmetric example,b42c0b22a18be45e99399cab,A graph showing that normally distributed and uncorrelated does not imply independence,4,prolific/train-0-236684.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,65170,3,12.59156667,Normally distributed and uncorrelated does not imply independent,1,first,11,12,"Joint range of
  
  
  
  X
  
  
  {\displaystyle X}
  
  and
  
  
  
  Y
  
  
  {\displaystyle Y}
  
 . Darker indicates higher value of the density function.","Two normally distributed, uncorrelated but dependent variables.",86,24,9,0.5151515152,0.72,0.1947798133,0.6308840513,0,0.2453407645,0.7383,0,0,0,0
Federal political financing in Canada,Federal political financing in Canada / Private funding / Cost of fundraising,b42c0b22a18be45e99399cab,A graph that compares fundraising expenses vs. contributions.,2,prolific/train-0-14152.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,51280,3,12.59156667,Federal political financing in Canada,2,first,11,9,Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009 (source: Elections Canada[4]),Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009,61,24,15,0.5135135135,0.6333333333,0.5398964882,0.532738924,0,0.9773972631,0.747,0,0,0,0
Tetration,Tetration / Inverse operations / Super-root / Other super-roots,21f713b0023916757a2e003b,Graph captures the upward slop to display data for inverse operation for super root and other super roots.,5,prolific/train-0-28614.png,FALSE,English,"{'question1': 'False', 'question10': '$0.63', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,108960,3,20.4385,Tetration,0,first,10,19,"The graph
  
  
  
  y
  =
  
  
  
  x
  
  3
  
  
  
  
  s
  
  
  
  
  {\displaystyle y={\sqrt[{3}]{x}}_{s}}
  
 .",A line graph that starts at the origin and quickly makes an asymptote toward 2 as the value along the x-axis increases,107,27,22,0.3823529412,0.6206896552,0.4128728211,0.3949330151,0,0.3996891379,0.7607,0,0,0,1
Tetration,Tetration / Inverse operations / Super-root / Other super-roots,21f713b0023916757a2e003b,"gradual slope displays values for x and y, 2 to 8 for y axis. only 2 for x axis. the data is shown as upward to linear effects from y value 2 to y value 8 being the linear line of consistent data.",5,prolific/train-0-28614.png,FALSE,English,"{'question1': 'False', 'question10': '$0.63', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,105312,3,20.4385,Tetration,0,second,10,47,"The graph
  
  
  
  y
  =
  
  
  
  x
  
  3
  
  
  
  
  s
  
  
  
  
  {\displaystyle y={\sqrt[{3}]{x}}_{s}}
  
 .",A line graph that starts at the origin and quickly makes an asymptote toward 2 as the value along the x-axis increases,198,27,22,0.3947368421,0.7096774194,0.3209565282,0.4709087014,0,0.3996891379,0.787,0,5,0,1
European debt crisis contagion,European debt crisis contagion,21f713b0023916757a2e003b,"the sovereign credit default swaps display 11 different countries, each representing their own individual color with lines to replicate their data. this traditional line graph as the values from 5.000 all the way up to 25.000 for the areas in the x axis where the y axis shows the date from January 10 through Oct 16.",3,prolific/train-0-359850.png,FALSE,English,"{'question1': 'False', 'question10': '$0.63', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,180031,3,20.4385,European debt crisis contagion,1,first,10,59,"Sovereign CDS showing a temporary loss of confidence in creditworthiness of certain EU countries. The left axis is in basis points; a level of 1,000 means it costs $1 million to protect $10 million of debt for five years.",Sovereign credit default swaps for EU countries in 2010-2013,318,44,9,0.6341463415,0.5833333333,0.4884816706,0.6483256221,0,0.5207872391,0.7744,0,7,0,1
Normally distributed and uncorrelated does not imply independent,Normally distributed and uncorrelated does not imply independent / Examples / A symmetric example,21f713b0023916757a2e003b,"the darker the lines means the higher the value. the X is the data and the outside of the lines, the areas furthest away from one another are lighter colored which means less values are there unlike the very center of the x where would would find most value because it is the intervention and darker portion of the x. additionally the x and y intersect at the center of the graph which is also the center of the x within the image.",3,prolific/train-0-236684.png,TRUE,English,"{'question1': 'False', 'question10': '$0.63', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,132648,3,20.4385,Normally distributed and uncorrelated does not imply independent,2,first,10,86,"Joint range of
  
  
  
  X
  
  
  {\displaystyle X}
  
  and
  
  
  
  Y
  
  
  {\displaystyle Y}
  
 . Darker indicates higher value of the density function.","Two normally distributed, uncorrelated but dependent variables.",432,24,9,0.6470588235,0.75,0.569108367,0.09221728146,0,0.2453407645,0.8057,0,0,2,2
European debt crisis,European debt crisis / Evolution of the crisis / Portugal,821a3393cba78efee48333fa,"Compares the debt of Portugal to the debt Eurozone by plotting the debt in percentage of GDP on the y axis and the year on the x axis. The data is shown with one data point for each year, from 1999 through 2019. Before 2004, Portugal had less debt as a percentage of GDP than the Eurozone, but the amount of debt of Portugal begins to rise quickly after about 2010. The Eurozone debt as a percentage of GDP has remained fairly consistent from 2013-2019, around 90% of GDP. Portugal's debt as percentage of GDP is much higher, in the 120s for 2013-2019.",2,prolific/train-0-191651.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,246098,4,13.84573333,European debt crisis,0,first,11,115,Debt of Portugal compared to eurozone average since 1999,Portuguese debt compared to eurozone average,553,9,6,0.5227272727,0.3863636364,0.8679256439,0.8186485767,0,0.921415329,0.8223,0,9,2,1
Ernie Toshack with the Australian cricket team in England in 1948,Ernie Toshack with the Australian cricket team in England in 1948 / Role,821a3393cba78efee48333fa,"This is a bar graph that also contains other points and lines on the graph. Each bar shows the batting performance at a game, during the 1948 England tour. The batting performance is quite low for all of the pink bars, which show it was a 1st class inning. The red bars are much higher; more runs were scored during these Test innings. In the Test innings, the batting performance ranges from 12-20. In the 1st class innings, most performances are below 5, with just one over five.",4,prolific/train-0-24640.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,163668,4,13.84573333,Ernie Toshack with the Australian cricket team in England in 1948,2,first,11,100,"A chart showing Toshack's batting performance during the tour. The runs scored per innings are represented by the bars, with the red bars being Test innings and the pink bars being other first-class innings. The blue line is the average of the five most recent innings and the dots indicate not outs.[10]","Toshack started the season with five first-class innings outside the Tests, and all were less than 10 and four were less than five, none were not out. He then scored two scores between 15 and 20 in the Tests, with a score of four outside the Tests in between. After scores of 1 and zero not out in the next two tour matches, he scored 12 not out in his third and final Test innings. He then finished with two in a tour match. All of his efforts beyond ten were in Tests, and he passed ten in all three Test innings, two of these being not out.",482,60,119,0.6511627907,0.6976744186,0.783598423,0.4798556566,0,0.6793749332,0.8813,2,4,2,1
Saqqaq,Saqqaq / Population,84e8dcdef5c4a1e001febe19,The image shows a bar graph of the Shaqqaq population from 1991 to 2010. The highest population was 214 in 2002. The lowest was 126 in 1991.,1,prolific/train-0-89137.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Seoul', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,107167,4,13.18165,Saqqaq,0,first,11,30,Saqqaq population growth dynamics in the last two decades. Source: Statistics Greenland[8],Saqqaq population dynamics,140,17,3,0.5277777778,0.4193548387,0.4945605397,0.593675971,0,0.7592844963,0.829,0,6,0,2
Green marketing,Green marketing / Adoptability / LOHAS,84e8dcdef5c4a1e001febe19,This is a pie graph of NMI's 2007 US LOHAS Consumer Segementation.,4,prolific/train-0-480642.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Seoul', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,84038,4,13.18165,Green marketing,1,first,11,14,The distribution of the different types of LOHAS.[26],The distribution of the different types of LOHAS.,67,12,9,0.5405405405,0.5588235294,0.2509507835,0.2616392374,0,0.987264514,1.024,0,1,0,0
Normally distributed and uncorrelated does not imply independent,Normally distributed and uncorrelated does not imply independent / Examples / A symmetric example,c3eacc52689174264909e3f9,A large x and y graph showing the intersection density value functions. The two meet in the middle and get darker there while getting whiter at the edges.,4,prolific/train-0-236684.png,FALSE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 4', 'question12': 'True', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,67303,3,22.68913333,Normally distributed and uncorrelated does not imply independent,1,first,9,30,"Joint range of
  
  
  
  X
  
  
  {\displaystyle X}
  
  and
  
  
  
  Y
  
  
  {\displaystyle Y}
  
 . Darker indicates higher value of the density function.","Two normally distributed, uncorrelated but dependent variables.",155,24,9,0.6176470588,0.7142857143,0.6744304895,0.192486316,0,0.2453407645,0.837,0,0,0,0
Ernie Toshack with the Australian cricket team in England in 1948,Ernie Toshack with the Australian cricket team in England in 1948 / Role,c3eacc52689174264909e3f9,The chart has pink and red bars. The pink bars are the per inning bars while the much larger red bars are the test innings. There's a blue line showing the average of the five recent innings. There are also a handful of blue dots on top of some parts of the graphs.,5,prolific/train-0-24640.png,FALSE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 4', 'question12': 'True', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,99531,3,22.68913333,Ernie Toshack with the Australian cricket team in England in 1948,2,first,9,58,"A chart showing Toshack's batting performance during the tour. The runs scored per innings are represented by the bars, with the red bars being Test innings and the pink bars being other first-class innings. The blue line is the average of the five most recent innings and the dots indicate not outs.[10]","Toshack started the season with five first-class innings outside the Tests, and all were less than 10 and four were less than five, none were not out. He then scored two scores between 15 and 20 in the Tests, with a score of four outside the Tests in between. After scores of 1 and zero not out in the next two tour matches, he scored 12 not out in his third and final Test innings. He then finished with two in a tour match. All of his efforts beyond ten were in Tests, and he passed ten in all three Test innings, two of these being not out.",266,60,119,0.7575757576,0.6666666667,0.7850170135,0.3455255628,0,0.6793749332,0.8145,6,0,0,1
Federal political financing in Canada,Federal political financing in Canada / Private funding / Cost of fundraising,9090a113fd9891cc4c8c2e48,"A 3-D, double bar graph, illustrating the top three Canadian federal parties, with each of their fundraising expenses and subsidized contributions. The expenses and contributions are measured in millions of dollars. The Conservative Party leads all three parties, with the Liberal Party coming in second, and the New Democratic Party in last place.",4,prolific/train-0-14152.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,262388,3,21.13598333,Federal political financing in Canada,1,first,11,61,Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009 (source: Elections Canada[4]),Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009,348,24,15,0.5333333333,0.6315789474,0.6287974119,0.6624667645,0,0.9773972631,0.733,0,1,0,1
European debt crisis,European debt crisis / Evolution of the crisis / Portugal,9090a113fd9891cc4c8c2e48,"Portugal's debt is slightly higher than the eurozone average debt from the years 1999-2005, then is identical to the eurozone average debt from the years 2005-2009, and becomes much higher than the eurozone average debt from 2009 until now.",2,prolific/train-0-191651.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,289694,3,21.13598333,European debt crisis,2,first,11,43,Debt of Portugal compared to eurozone average since 1999,Portuguese debt compared to eurozone average,240,9,6,0.6470588235,0.5151515152,0.9014782906,0.8644148707,0,0.921415329,0.854,0,5,0,2
Elections in Croatia,Elections in Croatia / Parliamentary elections / Previous parliamentary elections,8c4edcf49c1dacaee59a2eb2,"A line chart showing number of seats won in Croatian parliamentary elections by various political parties according to year. The election years listed are 1992, 1995, 2000, 2003, 2007, 2011, 2015, and 2016. Party HDZ's data points are indicated by a dark blue line. Chronologically by year, starting in 1992, they are approximately as follows: 85, 75, 46, 66, 66, 45, 51, and 58. Party SDP's data points are indicated by a red line. Chronologically, the values are approximately as follows: 11, 10, 43, 35, 57, 61, 42, and 38. Party HNS is indicated by an orange line, and its approximate chronological data points are as follows: 6, 3, 3, 10, 7, 14, 9, and 9. Party HSLS is indicated by a yellow line, and its approximate chronological data values are as follows: 14, 12, 25, 2, 2, 0, 2, and 1. Party HSS is indicated by a green line, and its approximate chronological data values are as follows: 3, 10, 17, 10, 6, 1, 1, and 5. Party MOST is indicated by a yellow-orange line starting only at the 2015 data point. Its approximate data values are 19 for 2015 and 13 for 2016.",4,prolific/train-0-472392.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,951243,4,52.03308333,Elections in Croatia,0,first,10,261,"Croatian parliamentary election results, 1992–2016; parties winning 10 or more seats in any one election shown individually","Graph of Croatian election results, using differently-colored lines",1075,19,9,0.5,0.3962264151,0.6435915828,0.7019929886,0,0.5574201345,0.816,5,54,8,0
Electricity sector in Germany,Electricity sector in Germany / Electricity prices,8c4edcf49c1dacaee59a2eb2,"A pie chart showing the components that make up the total German Electricity price.
 

 The largest wedge, 25.1%, is Grid Charges, valued at 7.9 cents per kilowatt-hour. Next largest (22.4%) is Power generation of acquisition, Sales, which is valued at 7.06 cents per kilowatt-hour. The remaining categories are all colored blue on the chart to indicate that they are all subcategories under the category Taxes, Levies, and Surcharges (which make up 53% of the total). The largest in this category is Renewable surcharge (21.5%), which is valued at 6.756 cents per kilowatt-hour. Next is Value-added tax (16%), which is valued at 5.02 cents per kilowatt-hour. Next is Electricity Tax (6.5%) valued at 2.05 cents per kilowatt-hour, followed by the Concession fee (5.5%), which is 1.66 cents. Finally, Other levies (3.2%), accounts for 1.0 cent per kilowatt-hour.",3,prolific/train-0-395010.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",,922775,4,52.03308333,Electricity sector in Germany,2,first,10,179,Components of the German Electricity Price for Households Source,Components Electricity Price Germany,860,9,4,0.4181818182,0.3333333333,0.6778065562,0.7153403163,0,0.7899571657,0.907,1,28,1,5
Angus Maddison statistics of the ten largest economies by GDP (PPP),Angus Maddison statistics of the ten largest economies by GDP (PPP),03015b66acdf88db46142d2a,A chart depicting the share of the world's GDP between five different geographical groups spanning all of time,3,train-0-22851.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",2.629216667,48674,3,5.168933333,Angus Maddison statistics of the ten largest economies by GDP (PPP),0,first,11,19,The global contribution to world's GDP by major economies from 1 AD to 2008 AD according to Angus Maddison's estimates.[1],,110,26,0,0.6486486486,,0.4507029057,0.03457960114,,,0.8574,0,0,0,0
Hispanics in the United States Navy,Hispanics in the United States Navy / Increase in Hispanic enlistment,03015b66acdf88db46142d2a,A chart depicting the gradual increase in all military departments from 1977 to now,3,train-0-38473.jpg,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",2.629216667,29770,3,5.168933333,Hispanics in the United States Navy,1,first,11,14,"Trend of Hispanic enlistment
 (Source: Department of Defense, Population Representation in the Military Services, Fiscal Year 2004; and data provided by the Office of the Deputy Under Secretary of Defense).",,83,37,0,0.3829787234,,0.4549781978,0.1209305972,,,0.85,0,1,0,1
Health care in France,Health care in France / Spending,fc7b4b37a9c64b04d7375c2d,The image above shows the total health spendending as a percentage of GDP for France compared amongst various other first world nations from 2005 to 2008. It shows that France has the highest while Hungary and Ireland have the lower number.,4,train-0-24427.JPG,FALSE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'True', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'Skip', 'question5': '35.2%', 'question6': 'Beijing', 'question7': 'Skip', 'question8': '$43.48', 'question9': '40.51 Mbps'}",4.30905,124050,4,10.00331667,Health care in France,0,first,5,43,Total health spending as a percentage of GDP for France compared amongst various other first world nations from 2005 to 2008,,240,21,0,0.8529411765,,0.8623108864,0.01672185957,,,0.715,0,2,0,2
Demography of the United Kingdom,Demography of the United Kingdom / Religion,fc7b4b37a9c64b04d7375c2d,The pie chart above shows the proportion of UK citizens responses with regards to their religion at the 2011 census. It shows that most of the citizens are christian while others are buddnist,4,train-0-25923.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'True', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'Skip', 'question5': '35.2%', 'question6': 'Beijing', 'question7': 'Skip', 'question8': '$43.48', 'question9': '40.51 Mbps'}",4.30905,84669,4,10.00331667,Demography of the United Kingdom,1,first,5,34,This chart shows the proportion of UK citizens responses with regards to their religion at the 2011 census.,,191,19,0,0.8666666667,,0.8622583151,0.1181541234,,,0.911,0,1,0,1
